               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.023367,            0.017127,           0.0028222,             0.87739,             0.73566,             0.80534,             0.46524,            0.031537,             0.01501,            0.010355,            0.007228,            0.007228,            0.007228
                 142,            0.023001,            0.017486,           0.0024376,             0.85726,             0.71923,             0.78216,              0.4451,            0.032248,            0.015046,            0.013654,           0.0072082,           0.0072082,           0.0072082
                 143,            0.022888,            0.017344,           0.0024815,             0.84593,             0.70047,             0.76581,             0.44554,            0.031096,            0.015047,             0.01184,           0.0071884,           0.0071884,           0.0071884
                 144,            0.022712,            0.017199,           0.0023372,              0.8832,             0.70981,             0.77625,              0.4438,            0.031373,            0.015495,            0.011699,           0.0071686,           0.0071686,           0.0071686
                 145,             0.02261,            0.017423,           0.0026397,             0.86452,             0.71867,             0.78131,             0.45608,            0.031597,            0.014996,            0.012458,           0.0071488,           0.0071488,           0.0071488
                 146,            0.022657,            0.016632,           0.0026842,              0.8396,              0.7217,             0.77378,             0.44497,            0.031139,            0.015559,            0.010561,            0.007129,            0.007129,            0.007129
                 147,            0.022806,            0.017213,           0.0026878,             0.85571,             0.70399,             0.76985,             0.45563,            0.030826,            0.015252,           0.0080153,           0.0071092,           0.0071092,           0.0071092
                 148,            0.022553,            0.017389,           0.0025149,             0.86515,             0.71698,             0.78314,             0.45573,            0.031638,            0.015129,             0.01111,           0.0070894,           0.0070894,           0.0070894
                 149,            0.022845,            0.016918,           0.0024627,             0.86114,             0.73917,             0.78352,             0.45399,             0.03121,            0.014967,            0.011446,           0.0070696,           0.0070696,           0.0070696
                 150,            0.022686,            0.017369,           0.0028242,             0.83312,             0.73926,             0.78781,             0.46154,            0.030064,            0.014926,            0.010932,           0.0070498,           0.0070498,           0.0070498
                 151,            0.022217,            0.016794,           0.0023919,             0.82525,             0.74468,             0.79248,             0.46072,            0.030208,            0.015022,             0.01007,             0.00703,             0.00703,             0.00703
                 152,            0.022074,            0.017076,           0.0024458,             0.85031,             0.69686,             0.77812,             0.45921,            0.031392,            0.015417,             0.01171,           0.0070102,           0.0070102,           0.0070102
                 153,            0.022445,            0.017127,           0.0023673,             0.85055,             0.72406,              0.7986,             0.46134,            0.031215,            0.015195,            0.012213,           0.0069904,           0.0069904,           0.0069904
                 154,            0.022279,            0.016869,           0.0022763,             0.84022,             0.74325,             0.80351,             0.46148,            0.030877,            0.015092,             0.01024,           0.0069706,           0.0069706,           0.0069706
                 155,            0.022449,            0.016902,           0.0024586,             0.84214,             0.71983,             0.79301,              0.4581,            0.030636,            0.015443,            0.010661,           0.0069508,           0.0069508,           0.0069508
                 156,            0.022389,            0.017015,           0.0027031,             0.82393,             0.70374,             0.77653,             0.45065,            0.031173,            0.015748,            0.012371,            0.006931,            0.006931,            0.006931
